post_id,campaign_id,cta_type,cta_link,landing_page,lead_id,lead_source,lead_created_at
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,APP-00007,app,2026-01-22 12:40:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,APP-00010,app,2026-01-23 18:20:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,FRM-00006,form,2026-01-11 12:41:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,FRM-00008,form,2026-01-25 19:55:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,FRM-00009,form,2026-01-10 20:28:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,HL-00005,hotline,2026-01-18 16:55:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,HL-05664,hotline,2026-01-26 16:55:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,QR-00001,qr_event,2026-01-15 22:30:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,SIB-00002,social_inbox,2026-01-08 11:36:00
P-Q1-01,CMP-2026-Q1,register,https://kpimbank.example/lp/cmp-2026-q1?utm_source=facebook&utm_medium=social&utm_campaign=cmp-2026-q1&utm_content=P-Q1-01,/lp/cmp-2026-q1,WEB-00003,website,2026-01-06 16:04:00
